,Fecha_Publicación,Titulo,viewCount,likeCount,dislikeCount,commentCount,Duración_segs,Tags,Descripcion,videoID,Edicion
0,2019-11-15,Historias de superhéroes que merecen ser contadas | Victoria Alonso | TEDxCordoba,2636,82,4,7,832,"['TEDxTalks', 'Spanish', 'Entertainment', 'Business', 'Humanity', 'LGBT']","Victoria Alonso es la Vicepresidenta Ejecutiva de Marvel Studios. Día a día, su trabajo consiste en decidir qué historias vale la pena contar. Muchos de sus desafíos consisten en hacer películas universales, con las que todos nos podamos sentir identificados. Sin embargo, ¿cuál es el impacto real en la sociedad? Según Victoria, cambiar la manera en que vemos a los superhéroes cambia la manera en que nos vemos a nosotros mismos.

Victoria Alonso vive en los Estados Unidos desde los 19 años. Comenzó su carrera como asistente de producción a productora de efectos visuales. Desde 2005 trabaja en Marvel Entertainment como Vicepresidenta Ejecutiva de Producción. También es productora ejecutiva de películas de Marvel que han acumulado más de 22 mil millones de dólares en todo el mundo, entre las que se encuentran ""Avengers: Endgame"" y ""Capitán América"". Victoria fue nombrada como una de las mujeres más poderosas de Hollywood en 2017 y 2018 por ""The Hollywood Reporter"". Fue la primera mujer en recibir los premios ""Harold Lloyd"" de la Advanced Imaging Society, y ""Visionario"" en la 15a Entrega Anual de los Premios VES.

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",dfEL609-KKg,TEDxCórdoba 2019
1,2019-12-19,¿Cuán democrática es la democracia? | Mario Riorda | TEDxCordoba,6576,198,11,9,887,"['TEDxTalks', 'Spanish', 'Social Sciences', 'Communication', 'Government', 'Politics', 'Social Change', 'Social Science']","¿Qué dicen los gobiernos cuando hablan? ¿Cómo se puede promover un Estado que incluya y dialogue más con sus ciudadanos? Mario Riorda, a partir de reflexiones gestadas en años de experiencia como uno de los principales consultores en comunicación política de la región, busca concientizar sobre las consecuencias que tienen los modos en que líderes políticos comunican sus acciones. Porque, como afirma, repensar los modos en que la política comunica es también una manera de repensar la democracia que queremos. Mario Riorda. Politólogo y activista de la comunicación política. Córdoba, Argentina.
Preside la Asociación Latinoamericana de Investigadores en Campañas Electorales. A los 19 años fundó su consultora y a los 30 asumió como decano de Ciencia Política de la Universidad Católica de Córdoba (UCC). Asesoró en más de 130 procesos electorales y asesora a gobiernos de America Latina. 
Lleva escritos 16 libros sobre comunicación política, pero su satisfacción es haber construido teoría sobre la comunicación gubernamental. Es conductor y coproductor de la serie documental “En el nombre del pueblo”, con la que recorrió 10 países en América Latina. 
Corre tanto como estudia. Ya corrió en las principales ciudades y parques naturales de los cinco continentes. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",Zk1-jKdiXHY,TEDxCórdoba 2019
2,2019-11-15,La escuela que cambió balas por palabras | José Luis Falco | TEDxCordoba,1660,39,1,5,1032,"['TEDxTalks', 'Spanish', 'Education', 'Community', 'Inequality', 'Social Change']","¿Cómo se educa en un contexto de vulnerabilidad socioeconómica y violencia urbana? ¿Es posible transformar balas en palabras? ¿Qué rol cumple la escuela? José Luis Falco nos ayuda a responder algunas de estas preguntas desde su experiencia como vicedirector de una escuela ubicada en una zona signada por la violencia urbana, en donde muchos jóvenes han perdido la vida en diferentes situaciones. 

Desde su rol en el Ipem 338 Salvador Mazza, José trabaja para dar respuesta a los problemas que atraviesan a la comunidad. Fue uno de los promotores de la ""Ley Provincial Nº 10.150 de la Promoción de la Palabra y la No Violencia en el Espacio Público"". Junto con Rosa Merlo, directora, en 2019 fueron elegidos ""Cordobeses del año"" por el diario La Voz del Interior. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",TdkrhgXyX_8,TEDxCórdoba 2019
